Time (S),State,Target Vel (R/S),Act Vel (R/S),Target Accel (R/S/S),Act Accel (R/S/S),Iq Current (A),Id Current (A),SMA Iq (A),Torque Set (nM),Act Torque (nM),Motor Encoder Count,Wheel Encoder Count,Hall Count,MPB Encoder Count,Faults (RAW),Spare1,Spare2,UUT Serial Number,Dataset Timestamp
0.094000,1.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.401663,-9123979.000000,0.000000,0.000000,-27897.000000,0.000000,0,0,T1-MX-1111-222333,11/01/2017 11:11:01
0.218000,1.000000,0.000000,0.000000,12.000000,12.000000,0.100000,-0.100000,0.012500,0.000000,0.407835,-9123979.000000,0.000000,0.000000,0.000000,0.000000,7,125,T1-MX-1111-222333,11/01/2017 11:11:01
0.343000,1.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.200000,0.025000,0.000000,0.402471,-9123979.000000,0.000000,0.000000,0.000000,0.000000,6,250,T1-MX-1111-222333,11/01/2017 11:11:01
0.468000,1.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,0.012500,0.000000,0.413861,-9123979.000000,0.000000,0.000000,0.000000,0.000000,6,375,T1-MX-1111-222333,11/01/2017 11:11:01
0.596000,1.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.100000,0.025000,0.000000,0.406510,-9123979.000000,0.000000,0.000000,0.000000,0.000000,6,500,T1-MX-1111-222333,11/01/2017 11:11:01
0.718000,1.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.025000,0.000000,0.407418,-9123979.000000,0.000000,0.000000,0.000000,0.000000,9,625,T1-MX-1111-222333,11/01/2017 11:11:01
0.844000,1.000000,0.000000,0.000000,12.000000,12.000000,-0.200000,0.000000,0.000000,0.000000,0.393978,-9123979.000000,0.000000,0.000000,0.000000,0.000000,6,750,T1-MX-1111-222333,11/01/2017 11:11:01
0.968000,1.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.403910,-9123979.000000,0.000000,0.000000,0.000000,0.000000,7,875,T1-MX-1111-222333,11/01/2017 11:11:01
1.093000,0.000000,0.000000,0.000000,12.000000,12.000000,0.200000,0.000000,0.025000,0.000000,0.400088,-9123979.000000,0.000000,0.000000,0.000000,0.000000,0,1000,T1-MX-1111-222333,11/01/2017 11:11:01
1.218000,0.000000,0.000000,0.038000,12.000000,12.000000,-0.100000,-0.200000,0.000000,0.000000,0.389375,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,1125,T1-MX-1111-222333,11/01/2017 11:11:01
1.344000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,-0.012500,0.000000,0.379518,-9123979.000000,0.000000,0.000000,0.000000,0.000000,7,1250,T1-MX-1111-222333,11/01/2017 11:11:01
1.468000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.400000,0.012500,0.000000,0.351449,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,1375,T1-MX-1111-222333,11/01/2017 11:11:01
1.594000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.100000,0.012500,0.000000,0.365776,-9123978.000000,0.000000,0.000000,0.000000,0.000000,5,1500,T1-MX-1111-222333,11/01/2017 11:11:01
1.718000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.100000,0.025000,0.000000,0.381812,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,1625,T1-MX-1111-222333,11/01/2017 11:11:01
1.844000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.050000,0.000000,0.409854,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,1750,T1-MX-1111-222333,11/01/2017 11:11:01
1.975000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,0.037500,0.000000,0.441319,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,1875,T1-MX-1111-222333,11/01/2017 11:11:01
2.093000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.200000,0.000000,-0.012500,0.000000,0.437512,-9123978.000000,0.000000,0.000000,0.000000,0.000000,13,2000,T1-MX-1111-222333,11/01/2017 11:11:01
2.219000,0.000000,0.000000,0.000000,12.000000,12.000000,0.300000,0.200000,0.037500,0.000000,0.444557,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,2125,T1-MX-1111-222333,11/01/2017 11:11:01
2.346000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.037500,0.000000,0.425257,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,2250,T1-MX-1111-222333,11/01/2017 11:11:01
2.469000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,0.012500,0.000000,0.405783,-9123978.000000,0.000000,0.000000,0.000000,0.000000,8,2375,T1-MX-1111-222333,11/01/2017 11:11:01
2.593000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,-0.012500,0.000000,0.375787,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,2500,T1-MX-1111-222333,11/01/2017 11:11:01
2.718000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.300000,-0.025000,0.000000,0.338604,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,2625,T1-MX-1111-222333,11/01/2017 11:11:01
2.843000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.200000,0.000000,-0.050000,0.000000,0.310081,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,2750,T1-MX-1111-222333,11/01/2017 11:11:01
2.968000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,-0.100000,-0.025000,0.000000,0.296188,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,2875,T1-MX-1111-222333,11/01/2017 11:11:01
3.093000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.200000,0.000000,-0.025000,0.000000,0.286348,-9123978.000000,0.000000,0.000000,0.000000,0.000000,5,3000,T1-MX-1111-222333,11/01/2017 11:11:01
3.218000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,-0.100000,-0.050000,0.000000,0.279683,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,3125,T1-MX-1111-222333,11/01/2017 11:11:01
3.343000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,-0.050000,0.000000,0.258674,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,3250,T1-MX-1111-222333,11/01/2017 11:11:01
3.468000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,-0.037500,0.000000,0.262666,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,3375,T1-MX-1111-222333,11/01/2017 11:11:01
3.593000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.100000,-0.012500,0.000000,0.253312,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,3500,T1-MX-1111-222333,11/01/2017 11:11:01
3.719000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,-0.025000,0.000000,0.256122,-9123978.000000,0.000000,0.000000,0.000000,0.000000,5,3625,T1-MX-1111-222333,11/01/2017 11:11:01
3.845000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.300000,0.000000,0.000000,0.248961,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,3750,T1-MX-1111-222333,11/01/2017 11:11:01
4.002000,0.000000,0.000000,0.000000,12.000000,12.000000,0.200000,0.000000,0.012500,0.000000,0.259494,-9123978.000000,0.000000,0.000000,0.000000,0.000000,8,3875,T1-MX-1111-222333,11/01/2017 11:11:01
4.094000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.037500,0.000000,0.263831,-9123978.000000,0.000000,0.000000,0.000000,0.000000,41,4000,T1-MX-1111-222333,11/01/2017 11:11:01
4.218000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.025000,0.000000,0.257914,-9123978.000000,0.000000,0.000000,0.000000,0.000000,8,4125,T1-MX-1111-222333,11/01/2017 11:11:01
4.344000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.200000,0.037500,0.000000,0.272908,-9123978.000000,0.000000,0.000000,0.000000,0.000000,5,4250,T1-MX-1111-222333,11/01/2017 11:11:01
4.469000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.200000,0.050000,0.000000,0.254314,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,4375,T1-MX-1111-222333,11/01/2017 11:11:01
4.594000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.400000,0.050000,0.000000,0.261473,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,4500,T1-MX-1111-222333,11/01/2017 11:11:01
4.718000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.062500,0.000000,0.266939,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,4625,T1-MX-1111-222333,11/01/2017 11:11:01
4.843000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.300000,-0.200000,0.025000,0.000000,0.265670,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,4750,T1-MX-1111-222333,11/01/2017 11:11:01
4.968000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.300000,0.000000,0.000000,0.269587,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,4875,T1-MX-1111-222333,11/01/2017 11:11:01
5.094000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,-0.012500,0.000000,0.264275,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,5000,T1-MX-1111-222333,11/01/2017 11:11:01
5.217000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,-0.012500,0.000000,0.272918,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,5125,T1-MX-1111-222333,11/01/2017 11:11:01
5.343000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,-0.025000,0.000000,0.268062,-9123978.000000,0.000000,0.000000,0.000000,0.000000,4,5250,T1-MX-1111-222333,11/01/2017 11:11:01
5.468000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,-0.050000,0.000000,0.274543,-9123978.000000,0.000000,0.000000,0.000000,0.000000,5,5375,T1-MX-1111-222333,11/01/2017 11:11:01
5.593000,0.000000,0.000000,0.000000,12.000000,12.000000,0.200000,0.000000,-0.037500,0.000000,0.275437,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,5500,T1-MX-1111-222333,11/01/2017 11:11:01
5.717000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,-0.050000,0.000000,0.274300,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,5625,T1-MX-1111-222333,11/01/2017 11:11:01
5.844000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,-0.025000,0.000000,0.283175,-9123978.000000,0.000000,0.000000,0.000000,0.000000,5,5750,T1-MX-1111-222333,11/01/2017 11:11:01
5.969000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,-0.025000,0.000000,0.271395,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,5875,T1-MX-1111-222333,11/01/2017 11:11:01
6.093000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,-0.100000,0.000000,0.000000,0.273511,-9123978.000000,0.000000,0.000000,0.000000,0.000000,7,6000,T1-MX-1111-222333,11/01/2017 11:11:01
6.218000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.282360,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,6125,T1-MX-1111-222333,11/01/2017 11:11:01
6.344000,0.000000,0.000000,0.000000,12.000000,12.000000,-0.100000,-0.200000,-0.012500,0.000000,0.271258,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,6250,T1-MX-1111-222333,11/01/2017 11:11:01
6.469000,0.000000,0.000000,0.000000,12.000000,12.000000,0.200000,0.300000,0.025000,0.000000,0.277799,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,6375,T1-MX-1111-222333,11/01/2017 11:11:01
6.595000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.200000,0.012500,0.000000,0.265126,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,6500,T1-MX-1111-222333,11/01/2017 11:11:01
6.718000,0.000000,0.000000,0.000000,12.000000,12.000000,0.000000,0.000000,0.025000,0.000000,0.274147,-9123978.000000,0.000000,0.000000,0.000000,0.000000,8,6625,T1-MX-1111-222333,11/01/2017 11:11:01
6.843000,0.000000,0.000000,0.000000,12.000000,12.000000,0.100000,0.100000,0.050000,0.000000,0.259692,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,6750,T1-MX-1111-222333,11/01/2017 11:11:01
6.968000,0.000000,0.000000,0.000000,12.000000,12.000000,0.300000,0.500000,0.087500,0.000000,0.276067,-9123978.000000,0.000000,0.000000,0.000000,0.000000,6,6875,T1-MX-1111-222333,11/01/2017 11:11:01
